,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration,simplified,Annotation
37,Allstate Insurance Company,7045381,2022-05-19,2022-06-07,Homeowners,,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0.0,Closed,19,Claim Settled,
38,GEICO General Insurance Company,7052124,2023-02-27,2023-03-17,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0.0,Closed,18,Claim Settled,
39,Liberty Mutual Personal Insurance Company,7044275,2022-04-07,2022-06-07,Commercial,,PolicyHolder Service,Policy Service Other,Company Position Substantiated,Company Position Upheld,0.0,Closed,61,Claim Settled,
40,Omaha Health Insurance Company,7045246,2022-05-16,2022-06-07,Individual,A & H,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Premium Refund,2237.76,Closed,22,Claim Dismissed,
41,Cigna Health and Life Insurance Company,7041053,2021-11-22,2022-01-19,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed,58,Claim Settled,
42,Liberty Mutual Personal Insurance Company,7052752,2023-03-17,2023-05-02,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,46,Claim Settled,
43,Cigna Health and Life Insurance Company,7041286,2021-12-06,2022-03-29,A & H,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed,113,Claim Settled,
44,Merrimack Mutual Fire Insurance Company,7042100,2022-01-15,2022-06-07,Homeowners,,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,143,Claim Settled,
45,Cigna Health and Life Insurance Company,7041034,2021-11-21,2021-12-08,A & H,A & H,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0.0,Closed,17,Claim Settled,
46,Transamerica Life Insurance Company,7044000,2022-03-28,2022-06-08,Individual Life,Term,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Voluntary Reconsideration,0.0,Closed,72,Claim Settled,
47,Cigna Health and Life Insurance Company,7042087,2022-01-14,2022-02-28,A & H,A & H,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed,45,Claim Settled,
48,Cigna Health and Life Insurance Company,7051426,2023-02-06,2023-03-20,A & H,A & H,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0.0,Closed,42,Claim Settled,
49,Cigna Health and Life Insurance Company,7040808,2021-11-11,2021-12-21,A & H,A & H,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0.0,Closed,40,Claim Dismissed,
50,Cigna Health and Life Insurance Company,7042887,2022-02-09,2022-03-17,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Coverage Denied,0.0,Closed,36,Claim Settled,
51,Plymouth Rock Assurance Corporation,7051918,2023-02-22,2023-03-20,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,26,Claim Settled,
52,Allstate Fire and Casualty Insurance Company,7052131,2023-02-28,2023-03-20,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Claim Settled,,0.0,Closed,20,Claim Settled,
53,American Strategic Insurance Corp.,7051760,2023-02-15,2023-03-08,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
54,SAFECO Insurance Company of Illinois,7051111,2023-01-24,2023-03-20,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,11061.55,Closed,55,Claim Settled,
55,Progressive Casualty Insurance Company,7053335,2023-04-11,2023-05-02,Individual Private Passenger,,Underwriting,Nonrenewal,Company Position Substantiated,,0.0,Closed,21,Claim Settled,
56,"ConnectiCare Benefits, Inc.",7041543,2021-12-17,2022-02-01,Individual,Exchange,Claim Handling,UR DENIAL OF CLAIM,Claim Settled,Furnished Information,611.31,Closed,46,Claim Settled,
57,"American Imaging Management, Inc.",7049538,2022-11-17,2023-03-20,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,123,Claim Settled,
58,Cigna Health and Life Insurance Company,7051246,2023-01-31,2023-03-20,Group,Dental,Claim Handling,Claim Delay,Company Position Substantiated,,76.6,Closed,48,Claim Settled,
59,Transamerica Financial Life Insurance Company,7051695,2023-02-14,2023-03-20,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Furnished Information,0.0,Closed,34,Claim Settled,
60,Cigna Health and Life Insurance Company,7006945,2021-10-21,2021-11-30,Group,Health Only,Claim Handling,Surprise Billing,Claim Settled,,3619.0,Closed,40,Claim Settled,
61,SiriusPoint Specialty Insurance Corporation,7051752,2023-02-15,2023-03-08,General,Surplus Lines,Underwriting,Cancellation,Complaint Withdrawn,,0.0,Closed,21,Claim Dismissed,
62,CSAA General Insurance Company,7051134,2023-01-25,2023-03-20,Homeowners,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,54,Claim Settled,
63,"ConnectiCare Benefits, Inc.",7051169,2023-01-26,2023-03-20,Individual,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Overturned,,1172.0,Closed,53,Claim Dismissed,
64,"Anthem Health Plans, Inc",7049785,2022-11-30,2023-01-25,A & H,Health Only,Claim Handling,Time Delay,Claim Settled,Claim Paid,4504.2,Closed,56,Claim Settled,
65,SAFECO Insurance Company of Illinois,7052244,2023-03-03,2023-03-20,Individual Private Passenger,Collision,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Enter Arbitration,0.0,Closed,17,Claim Settled,
66,Esurance Insurance Company,7053257,2023-04-10,2023-05-02,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
67,Economy Premier Assurance Company,7051031,2023-01-22,2023-03-20,Individual Private Passenger,,Underwriting,Cancellation,Company Position Substantiated,Cancellation Upheld,0.0,Closed,57,Claim Settled,
68,CSAA Affinity Insurance Company,7043138,2022-02-17,2022-06-09,Homeowners,Hazard,Claim Handling,Denial,Company Position Overturned,Contract Violation,10000.0,Closed,112,Claim Dismissed,
69,Nationwide Mutual Fire Insurance Company,7052009,2023-02-24,2023-03-20,Homeowners,,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,24,Claim Settled,
70,"Anthem Health Plans, Inc",7045021,2022-05-09,2022-06-09,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed,31,Claim Settled,
71,Liberty Mutual Personal Insurance Company,7054715,2023-05-30,2023-06-15,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,16,Claim Settled,
72,Trumbull Insurance Company,7051887,2023-02-18,2023-03-20,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,30,Claim Settled,
73,Liberty Mutual Personal Insurance Company,7051099,2023-01-24,2023-03-20,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,,0.0,Closed,55,Claim Settled,
74,Amica Mutual Insurance Company,7051802,2023-02-16,2023-03-08,Umbrella,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
75,State Farm Fire & Casualty Company,7048929,2022-10-26,2022-12-14,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Overturned,Justified,19462.8,Closed,49,Claim Dismissed,
76,Aetna Health and Life Insurance Company,7049093,2022-11-02,2023-01-25,A & H,Health Only,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Provider Issue,0.0,Closed,84,Claim Settled,
77,Infinity Standard Insurance Company,7052242,2023-03-03,2023-03-20,Commercial,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,,0.0,Closed,17,Claim Settled,
78,Farmers Group Property and Casualty Insurance Company,7051935,2023-02-22,2023-03-20,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Justified,1515.49,Closed,26,Claim Settled,
79,Hartford Casualty Insurance Company,7050487,2023-01-03,2023-01-25,Homeowners,Hazard,Underwriting,Nonrenewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0.0,Closed,22,Claim Settled,
80,"ConnectiCare Benefits, Inc.",7045506,2022-05-25,2022-06-10,A & H,Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed,16,Claim Dismissed,
81,UnitedHealthcare Insurance Company,7045327,2022-05-18,2022-06-10,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231.0,Closed,23,Claim Settled,
82,Utica First Insurance Company,7053384,2023-04-12,2023-05-02,Homeowners,,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
83,"Anthem Health Plans, Inc",7049229,2022-11-08,2022-12-14,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0.0,Closed,36,Claim Settled,
84,Massachusetts Bay Insurance Company,7049768,2022-11-30,2022-12-14,Homeowners,,Underwriting,Non&ndash;Renewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0.0,Closed,14,Claim Settled,
85,United States Fire Insurance Company,7050801,2023-01-17,2023-03-20,Travel,,Claim Handling,Claim Denial,Claim Settled,,0.0,Closed,62,Claim Settled,
86,Nationwide Mutual Insurance Company,7051235,2023-01-30,2023-03-20,Travel,,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Questionable,9787.0,Closed,49,Claim Settled,
87,Transamerica Life Insurance Company,7045401,2022-05-20,2022-06-10,Individual Life,Term,Marketing & Sales,No Coverage/Premium Paid,No Action Requested/Required,Policy Restored/Reinstated,0.0,Closed,21,Claim Dismissed,
88,"Anthem Health Plans, Inc",7050036,2022-12-12,2022-12-14,Individual,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0.0,Closed,2,Claim Dismissed,
89,Twin City Fire Insurance Company,7054502,2023-05-22,2023-06-15,Commercial Multi&ndash;Peril,,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,24,Claim Settled,
90,Empower Annuity Insurance Company,7043896,2022-03-22,2022-04-26,Individual Annuities,Fixed,Marketing & Sales,Summary of Benefits,Company Position Substantiated,Contract Provision,0.0,Closed,35,Claim Settled,
91,Cigna Health and Life Insurance Company,7042660,2022-02-03,2022-04-11,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320.0,Closed,67,Claim Settled,
92,Cigna Health and Life Insurance Company,7043420,2022-03-01,2022-04-04,Group,Dental,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid With Interest,0.0,Closed,34,Claim Settled,
93,Cigna Health and Life Insurance Company,7042396,2022-01-25,2022-03-25,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0.0,Closed,59,Claim Settled,
94,Cigna Health and Life Insurance Company,7042560,2022-02-01,2022-03-02,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011.0,Closed,29,Claim Settled,
95,Genworth Life Insurance Company,7045359,2022-05-19,2022-06-13,Individual,Long Term Care,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0.0,Closed,25,Claim Settled,
96,Transamerica Life Insurance Company,7053343,2023-04-11,2023-05-03,A & H,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Furnished Information,5006.79,Closed,22,Claim Settled,
97,Cigna Health and Life Insurance Company,7041241,2021-12-02,2022-01-03,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed,32,Claim Settled,
98,Cigna Health and Life Insurance Company,7041753,2021-12-29,2022-01-18,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181.0,Closed,20,Claim Settled,
99,"Anthem Health Plans, Inc",7052003,2023-02-23,2023-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid With Interest,3826.7,Closed,69,Claim Settled,
100,"Anthem Health Plans, Inc",7052995,2023-03-28,2023-05-03,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,3743.34,Closed,36,Claim Settled,
101,Fidelity National Title Insurance Company,7052911,2023-03-27,2023-05-03,Homeowners,Hazard,Claim Handling,Adjuster Handling,Company Position Substantiated,,0.0,Closed,37,Claim Settled,
102,American Pet Insurance Company,7046756,2022-07-25,2023-01-25,Pet Insurance,,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0.0,Closed,184,Claim Settled,
103,"Anthem Health Plans, Inc",7053319,2023-04-11,2023-05-03,Group,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Provider Issue,0.0,Closed,22,Claim Dismissed,
104,Brighthouse Life Insurance Company,7049829,2022-12-01,2023-05-03,Individual Annuities,Fixed,PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0.0,Closed,153,Claim Settled,
105,GEICO General Insurance Company,7054257,2023-05-12,2023-06-15,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,34,Claim Settled,
106,Allstate Fire and Casualty Insurance Company,7052173,2023-03-01,2023-03-21,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,20,Claim Settled,
107,Cigna Health and Life Insurance Company,7041921,2022-01-06,2022-02-22,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,47,Claim Settled,
108,Cigna Health and Life Insurance Company,7040927,2021-11-16,2021-12-28,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed,42,Claim Settled,
109,Cigna Health and Life Insurance Company,7041150,2021-11-26,2022-01-03,A & H,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,38,Claim Settled,
110,Progressive Direct Insurance Company,7053425,2023-04-14,2023-05-03,Individual Private Passenger,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
111,LM Insurance Corporation,7052069,2023-02-27,2023-03-21,Workers&squo; Compensation,,Underwriting,Audit Dispute,Company Position Substantiated,,0.0,Closed,22,Claim Settled,
112,Cigna Health and Life Insurance Company,7043654,2022-03-09,2022-04-21,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,43,Claim Settled,
113,"Anthem Health Plans, Inc",7043994,2022-03-28,2022-06-14,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Overturned,,112.0,Closed,78,Claim Dismissed,
114,Property and Casualty Insurance Company of Hartford,7052095,2023-02-27,2023-03-21,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0.0,Closed,22,Claim Settled,
115,"ConnectiCare Benefits, Inc.",7045316,2022-05-18,2022-06-14,Individual,Health Only,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0.0,Closed,27,Claim Dismissed,
116,Cigna Health and Life Insurance Company,7043036,2022-02-15,2022-05-10,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0.0,Closed,84,Claim Settled,
117,"ConnectiCare Insurance Company, Inc",7045292,2022-05-17,2022-06-14,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed,28,Claim Settled,
118,Cigna Health and Life Insurance Company,7044184,2022-04-05,2022-05-03,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed,28,Claim Settled,
119,CSAA Affinity Insurance Company,7051119,2023-01-24,2023-03-21,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,,0.0,Closed,56,Claim Settled,
120,"Anthem Health Plans, Inc",7051750,2023-02-15,2023-03-21,A & H,,Claim Handling,Provider Contract Issue,Company Position Overturned,,3076.92,Closed,34,Claim Dismissed,
121,Evanston Insurance Company,7052571,2023-03-13,2023-05-03,Homeowners,Surplus Lines,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,,0.0,Closed,51,Claim Settled,
122,Allstate Insurance Company,7049865,2022-12-05,2023-03-21,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0.0,Closed,106,Claim Settled,
123,New York Life Insurance Company,7045391,2022-05-20,2022-06-15,Group Life,Universal,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Contract Provision,0.0,Closed,26,Claim Settled,
124,American General Life Insurance Company,7053560,2023-04-19,2023-05-03,Individual Life,Whole Life,PolicyHolder Service,Premium Refund Delay,Compromised Settlement/Resolution,Premium Refund,0.0,Closed,14,Claim Settled,
125,Cigna Health and Life Insurance Company,7043626,2022-03-08,2022-05-02,Group,Health Only,Claim Handling,Unsatisfactory Settlement,Claim Settled,Additional Money Received,634.23,Closed,55,Claim Settled,
126,Progressive Casualty Insurance Company,7051955,2023-02-22,2023-03-21,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,27,Claim Settled,
127,Progressive Casualty Insurance Company,7051818,2023-02-16,2023-03-21,Individual Private Passenger,Comprehensive,Claim Handling,Claim Denial,Company Position Substantiated,,0.0,Closed,33,Claim Settled,
128,Allstate Property and Casualty Insurance Company,7045664,2022-06-03,2022-06-15,Motorcycle,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,12,Claim Settled,
129,Cigna Health and Life Insurance Company,7043662,2022-03-09,2022-03-30,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid,565.5,Closed,21,Claim Settled,
130,American Modern Home Insurance Company,7051987,2023-02-23,2023-03-21,Homeowners,,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Substantiated,,0.0,Closed,26,Claim Settled,
131,Standard Fire Insurance Company (The),7054718,2023-05-30,2023-06-16,Condo/Townhome,Hazard,Claim Handling,Claim Denial,Claim Settled,,11441.0,Closed,17,Claim Settled,
132,"Anthem Health Plans, Inc",7045552,2022-05-27,2022-06-16,Individual,Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0.0,Closed,20,Claim Settled,
133,Cigna Health and Life Insurance Company,7044570,2022-04-21,2022-05-16,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed,25,Claim Settled,
134,"Anthem Health Plans, Inc",7045587,2022-05-31,2022-06-16,A & H,Exchange,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0.0,Closed,16,Claim Settled,
135,USAA Casualty Insurance Company,7052102,2023-02-27,2023-03-21,Homeowners,,Claim Handling,Claim Delay,Company Position Substantiated,,38000.0,Closed,22,Claim Settled,
136,Cigna Health and Life Insurance Company,7045295,2022-05-17,2022-06-16,Group,A & H,Claim Handling,Eligibility of Provider,Claim Settled,Satisfied,0.0,Closed,30,Claim Settled,
137,"ConnectiCare Benefits, Inc.",7044621,2022-04-22,2022-06-16,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0.0,Closed,55,Claim Settled,
138,GEICO General Insurance Company,7053454,2023-04-14,2023-05-03,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,,0.0,Closed,19,Claim Settled,
139,SAFECO Insurance Company of Illinois,7045612,2022-06-01,2022-06-16,Homeowners,,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0.0,Closed,15,Claim Settled,
140,Cigna Health and Life Insurance Company,7051456,2023-02-06,2023-03-22,Group,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Denied,0.0,Closed,44,Claim Settled,
141,Aetna Life Insurance Company,7019870,2019-08-28,2019-09-04,Group,Health Only,Claim Handling,Out of Network Benefits,Insufficient Information,,0.0,Closed,7,Claim Dismissed,
142,Cigna Health and Life Insurance Company,7044713,2022-04-27,2022-05-13,Group,Dental,Claim Handling,Claim Delays,Claim Settled,Claim Paid With Interest,872.96,Closed,16,Claim Settled,
