,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
68,USAA General Indemnity Company,7052391,3/9/2023,5/2/2023,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Company Position Upheld,0,Closed,54
70,"ConnectiCare Benefits, Inc.",7049743,11/29/2022,12/13/2022,A & H,A & H,Underwriting,Premium & Rating,Company Position Substantiated,Satisfactory Explanation,0,Closed,14
71,Genworth Life Insurance Company,7048480,10/6/2022,10/27/2022,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Rate Increase Explained,0,Closed,21
75,Mobilitas Insurance Company,7054656,5/25/2023,6/15/2023,Individual Private Passenger,Collision,Claim Handling,Storage Fees,Company Position Substantiated,Justified,1063.5,Closed,21
77,Guardian Life Insurance Company of America,7045183,5/13/2022,6/3/2022,Individual Private Passenger,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Company Position Upheld,0,Closed,21
80,Motor Club Insurance Company,7052889,3/24/2023,6/15/2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,83
82,Century&ndash;National Insurance Company,7043081,2/16/2022,6/3/2022,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,107
84,"Anthem Health Plans, Inc",7047438,8/23/2022,3/8/2023,Individual,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Justified,28634.57,Closed,197
88,Progressive Direct Insurance Company,7048406,10/4/2022,12/13/2022,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,70
92,AmGUARD Insurance Company,7050547,1/6/2023,1/25/2023,Commercial,Collision,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,Company Position Upheld,0,Closed,19
93,"Oxford Health Insurance, Incorporated",7045035,5/10/2022,6/3/2022,Group,Health Only,Claim Handling,Internal Appeal,Company Position Substantiated,Company Position Upheld,0,Closed,24
94,Farmers Property and Casualty Insurance Company,7054476,5/19/2023,6/15/2023,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,27
102,CSAA General Insurance Company,7051934,2/22/2023,3/17/2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,23
107,Allstate Insurance Company,7045238,5/16/2022,6/6/2022,Individual Life,Term,Marketing & Sales,Marketing/Sales other,Company Position Substantiated,Contract Provision,0,Closed,21
109,Trumbull Insurance Company,7053886,5/1/2023,5/2/2023,Homeowners,Liability,Underwriting,Nonrenewal,Complaint Withdrawn,Company Position Upheld,0,Closed,1
110,New South Insurance Company,7052770,3/20/2023,5/2/2023,Individual Private Passenger,Collision,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,0,Closed,43
112,Cigna Health and Life Insurance Company,7045389,5/20/2022,6/6/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0,Closed,17
113,American General Life Insurance Company,7045172,5/13/2022,6/6/2022,Individual Life,Term,Marketing & Sales,Premiums Misquoted,Company Position Substantiated,Contract Provision,0,Closed,24
117,Cigna Health and Life Insurance Company,7053163,4/4/2023,5/2/2023,Group,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0,Closed,28
118,"Anthem Health Plans, Inc",7043327,2/24/2022,6/6/2022,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,16383.32,Closed,102
121,Lincoln Benefit Life Company,7045204,5/16/2022,6/6/2022,Individual Life,Fixed,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Claim Paid With Interest,0,Closed,21
134,GEICO Indemnity Company,7052011,2/24/2023,3/17/2023,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,21
140,"Anthem Health Plans, Inc",7052896,3/25/2023,5/2/2023,A & H,Liability,PolicyHolder Service,Credentialing Delay,Company Position Overturned,Provider Issue,0,Closed,38
141,State Farm Mutual Automobile Insurance Company,7053207,4/5/2023,5/2/2023,Individual Private Passenger,Comprehensive,Claim Handling,Adjuster Handling,Company Position Substantiated,Corrective Action,0,Closed,27
145,Century&ndash;National Insurance Company,7054675,5/26/2023,6/15/2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,20
148,Nationwide Mutual Insurance Company,7045411,5/23/2022,6/7/2022,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,386.13,Closed,15
151,UnitedHealthcare Insurance Company,7051076,1/23/2023,1/25/2023,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Provider Issue,0,Closed,2
152,"Cigna HealthCare of Connecticut, Inc",7041960,1/10/2022,6/7/2022,Group,Liability,Claim Handling,CPT Code Issue,Company Position Substantiated,Claim Paid,0,Closed,148
153,Allstate Insurance Company,7045381,5/19/2022,6/7/2022,Homeowners,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,19
155,"Cigna HealthCare of Connecticut, Inc",7050680,1/10/2023,1/25/2023,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,15
158,Cigna Health and Life Insurance Company,7040854,11/14/2021,1/7/2022,A & H,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Furnished Information,0,Closed,54
167,GEICO General Insurance Company,7052124,2/27/2023,3/17/2023,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,18
175,Liberty Mutual Personal Insurance Company,7044275,4/7/2022,6/7/2022,Commercial,Liability,PolicyHolder Service,Policy Service Other,Company Position Substantiated,Company Position Upheld,0,Closed,61
176,Cigna Health and Life Insurance Company,7051104,1/24/2023,1/25/2023,A & H,Liability,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,1
179,Cigna Health and Life Insurance Company,7012547,2/20/2019,3/6/2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Action Necessary,0,Closed,14
181,Omaha Health Insurance Company,7045246,5/16/2022,6/7/2022,Individual,A & H,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Premium Refund,2237.76,Closed,22
184,Cigna Health and Life Insurance Company,7041053,11/22/2021,1/19/2022,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed,58
189,Aetna Health and Life Insurance Company,7047493,8/25/2022,8/29/2022,Group,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0,Closed,4
194,State Farm Mutual Automobile Insurance Company,7052382,3/8/2023,5/2/2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,Enter Arbitration,0,Closed,55
196,Liberty Mutual Personal Insurance Company,7052752,3/17/2023,5/2/2023,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,46
197,Cigna Health and Life Insurance Company,7041286,12/6/2021,3/29/2022,A & H,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed,113
202,"ConnectiCare Insurance Company, Inc",7054398,5/17/2023,6/15/2023,Group,A & H,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0,Closed,29
203,Merrimack Mutual Fire Insurance Company,7042100,1/15/2022,6/7/2022,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,143
209,Cigna Health and Life Insurance Company,7043769,3/15/2022,4/5/2022,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
211,Cigna Health and Life Insurance Company,7041034,11/21/2021,12/8/2021,A & H,A & H,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0,Closed,17
219,"ConnectiCare Benefits, Inc.",7042515,1/31/2022,4/29/2022,Individual,Health Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Policy Restored/Reinstated,0,Closed,88
223,"Anthem Health Plans, Inc",7008305,9/23/2021,9/24/2021,A & H,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Record Only,0,Closed,1
226,"Anthem Health Plans, Inc",7044913,5/5/2022,6/8/2022,Individual,Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0,Closed,34
227,Century&ndash;National Insurance Company,7051982,2/23/2023,3/17/2023,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,22
229,"ConnectiCare Benefits, Inc.",7045091,5/11/2022,6/8/2022,Individual,Exchange,Claim Handling,Denial,Company Position Substantiated,Claim Paid,0,Closed,28
240,"Anthem Health Plans, Inc",7043955,3/24/2022,6/8/2022,A & H,Self Funded/ERISA,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,76
241,Transamerica Life Insurance Company,7044000,3/28/2022,6/8/2022,Individual Life,Term,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Voluntary Reconsideration,0,Closed,72
246,Cigna Health and Life Insurance Company,7042087,1/14/2022,2/28/2022,A & H,A & H,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed,45
253,Cigna Health and Life Insurance Company,7051426,2/6/2023,3/20/2023,A & H,A & H,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0,Closed,42
255,Cigna Health and Life Insurance Company,7006949,10/21/2021,12/1/2021,Group,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Corrective Action,7418.27,Closed,41
257,Cigna Health and Life Insurance Company,7040808,11/11/2021,12/21/2021,A & H,A & H,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0,Closed,40
262,"Anthem Health Plans, Inc",7052384,3/8/2023,3/20/2023,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,12
267,Cigna Health and Life Insurance Company,7042887,2/9/2022,3/17/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Coverage Denied,0,Closed,36
268,Plymouth Rock Assurance Corporation,7051918,2/22/2023,3/20/2023,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,26
269,Cigna Health and Life Insurance Company,7042353,1/24/2022,2/15/2022,Group,Dental,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid With Interest,238.63,Closed,22
271,Aetna Health Inc,7045155,5/13/2022,6/8/2022,Group,Dental,Claim Handling,Claim Procedure,Company Position Substantiated,Furnished Information,0,Closed,26
272,Allstate Fire and Casualty Insurance Company,7052131,2/28/2023,3/20/2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Claim Settled,Company Position Upheld,0,Closed,20
275,Cigna Health and Life Insurance Company,7017008,4/20/2018,5/9/2018,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,19
292,"Anthem Health Plans, Inc",7049753,11/29/2022,12/5/2022,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,6
299,"Anthem Health Plans, Inc",7052314,3/7/2023,3/20/2023,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,13
304,Truck Insurance Exchange,7044716,4/27/2022,5/10/2022,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,21839.71,Closed,13
306,Cigna Health and Life Insurance Company,7009079,2/3/2021,2/3/2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
315,Cigna Health and Life Insurance Company,7010157,7/19/2021,8/9/2021,Individual,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,No Action Necessary,0,Closed,21
318,Cigna Health and Life Insurance Company,7009080,2/3/2021,2/3/2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
319,American Strategic Insurance Corp.,7051760,2/15/2023,3/8/2023,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0,Closed,21
321,SAFECO Insurance Company of Illinois,7051111,1/24/2023,3/20/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,11061.55,Closed,55
323,Cigna Health and Life Insurance Company,7009086,2/4/2021,2/4/2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
324,Republic&ndash;Franklin Insurance Company,7052161,3/1/2023,3/20/2023,Homeowners,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,10000,Closed,19
326,Progressive Casualty Insurance Company,7053335,4/11/2023,5/2/2023,Individual Private Passenger,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,21
327,"ConnectiCare Benefits, Inc.",7041543,12/17/2021,2/1/2022,Individual,Exchange,Claim Handling,UR DENIAL OF CLAIM,Claim Settled,Furnished Information,611.31,Closed,46
333,Trumbull Insurance Company,7050138,12/15/2022,1/26/2023,Homeowners,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,42
334,John Hancock Life Insurance Company (USA),7050673,1/10/2023,1/25/2023,Individual,Long Term Care,PolicyHolder Service,Coverage Question,Company Position Substantiated,Contract Violation,0,Closed,15
335,Cigna Health and Life Insurance Company,7009067,2/2/2021,2/3/2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,1
339,UnitedHealthcare Insurance Company,7052776,3/20/2023,3/20/2023,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
348,"American Imaging Management, Inc.",7049538,11/17/2022,3/20/2023,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,123
350,Cigna Health and Life Insurance Company,7051246,1/31/2023,3/20/2023,Group,Dental,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,76.6,Closed,48
351,"Cigna HealthCare of Connecticut, Inc",7051350,2/2/2023,3/20/2023,Individual,Health Only,Claim Handling,Claim Delays,Company Position Substantiated,Furnished Information,6310.29,Closed,46
359,Cigna Health and Life Insurance Company,7009769,7/22/2021,7/22/2021,A & H,Liability,Claim Handling,Claim Denial,Company Position Substantiated,No Action Necessary,0,Closed,0
361,Cigna Health and Life Insurance Company,7009652,2/11/2021,7/27/2021,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,418,Closed,166
366,UnitedHealthcare Insurance Company,7051043,1/23/2023,1/25/2023,A & H,Liability,Claim Handling,CPT Code Issue,Company Position Substantiated,Provider Issue,0,Closed,2
367,Transamerica Financial Life Insurance Company,7051695,2/14/2023,3/20/2023,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Furnished Information,0,Closed,34
373,Cigna Health and Life Insurance Company,7006945,10/21/2021,11/30/2021,Group,Health Only,Claim Handling,Surprise Billing,Claim Settled,Company Position Upheld,3619,Closed,40
378,SiriusPoint Specialty Insurance Corporation,7051752,2/15/2023,3/8/2023,General,Surplus Lines,Underwriting,Cancellation,Complaint Withdrawn,Company Position Upheld,0,Closed,21
386,CSAA General Insurance Company,7051134,1/25/2023,3/20/2023,Homeowners,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,54
387,"ConnectiCare Benefits, Inc.",7051169,1/26/2023,3/20/2023,Individual,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Overturned,Company Position Upheld,1172,Closed,53
391,"Anthem Health Plans, Inc",7044750,4/28/2022,6/8/2022,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Furnished Information,0,Closed,41
392,"Anthem Health Plans, Inc",7049785,11/30/2022,1/25/2023,A & H,Health Only,Claim Handling,Time Delay,Claim Settled,Claim Paid,4504.2,Closed,56
396,Westchester Fire Insurance Company,7051452,2/6/2023,3/20/2023,Pet Insurance,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Non&ndash;Renewal Rescinded,0,Closed,42
401,SAFECO Insurance Company of Illinois,7052244,3/3/2023,3/20/2023,Individual Private Passenger,Collision,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Enter Arbitration,0,Closed,17
404,Esurance Insurance Company,7053257,4/10/2023,5/2/2023,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,22
405,Economy Premier Assurance Company,7051031,1/22/2023,3/20/2023,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Cancellation Upheld,0,Closed,57
407,Motor Club Insurance Company,7045271,5/17/2022,6/9/2022,Homeowners,Liability,Underwriting,Cancellation,Company Position Substantiated,Cancellation Withdrawn,0,Closed,23
408,UnitedHealthcare Insurance Company,7052773,3/20/2023,3/20/2023,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
410,"Anthem Health Plans, Inc",7043239,2/22/2022,6/9/2022,A & H,A & H,Claim Handling,Eligibility of Provider,Company Position Substantiated,Claim Paid,9235.77,Closed,107
411,UnitedHealthcare Insurance Company,7052786,3/20/2023,3/20/2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
413,CSAA Affinity Insurance Company,7043138,2/17/2022,6/9/2022,Homeowners,Hazard,Claim Handling,Denial,Company Position Overturned,Contract Violation,10000,Closed,112
415,Nationwide Mutual Fire Insurance Company,7052009,2/24/2023,3/20/2023,Homeowners,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,24
416,Cigna Health and Life Insurance Company,7018510,10/25/2019,11/13/2019,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Justified,120,Closed,19
417,"Anthem Health Plans, Inc",7045021,5/9/2022,6/9/2022,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,31
418,"Anthem Health Plans, Inc",7043876,3/21/2022,6/9/2022,A & H,Health Only,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,15584.57,Closed,80
422,Liberty Mutual Personal Insurance Company,7052136,2/28/2023,3/20/2023,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Additional Money Received,213.74,Closed,20
432,Liberty Mutual Personal Insurance Company,7054715,5/30/2023,6/15/2023,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,16
433,Allmerica Financial Benefit Insurance Company,7051541,2/9/2023,3/20/2023,Commercial,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,39
439,"Anthem Health Plans, Inc",7049029,10/31/2022,12/14/2022,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,44
441,Trumbull Insurance Company,7051887,2/18/2023,3/20/2023,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,30
443,Cigna Health and Life Insurance Company,7021881,5/16/2019,5/30/2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,14
445,Liberty Mutual Personal Insurance Company,7051099,1/24/2023,3/20/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,55
460,Plymouth Rock Assurance Corporation,7052711,3/16/2023,3/20/2023,Homeowners,Hazard,Claim Handling,Adjuster Handling,Company Position Substantiated,Record Only,0,Closed,4
461,Amica Mutual Insurance Company,7051802,2/16/2023,3/8/2023,Umbrella,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,20
465,State Farm Fire & Casualty Company,7048929,10/26/2022,12/14/2022,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Overturned,Justified,19462.8,Closed,49
468,Cigna Health and Life Insurance Company,7001141,3/19/2020,3/23/2020,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,No Action Necessary,0,Closed,4
469,Aetna Health and Life Insurance Company,7049093,11/2/2022,1/25/2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Provider Issue,0,Closed,84
476,Infinity Standard Insurance Company,7052242,3/3/2023,3/20/2023,Commercial,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,17
479,Farmers Group Property and Casualty Insurance Company,7051935,2/22/2023,3/20/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Justified,1515.49,Closed,26
482,Cigna Health and Life Insurance Company,7003436,7/29/2020,8/31/2020,Group,Dental,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Furnished Information,20,Closed,33
