ID,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
81,Federal Insurance Company,7006172,8 10 2021,3 06 2022,Travel,Liability,Claim Handling,Claim Delays,Claim Settled,Claim Paid,125.06,Closed,238
82,Century&ndash;National Insurance Company,7043081,16 02 2022,3 06 2022,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,107
84,"Anthem Health Plans, Inc",7047438,23 08 2022,8 03 2023,Individual,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Justified,28634.57,Closed,197
87,American Commerce Insurance Company,7035658,24 07 2020,23 11 2021,Individual Private Passenger,Liability,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0,Closed,487
88,Progressive Direct Insurance Company,7048406,4 10 2022,13 12 2022,Motorhome,Comprehensive,Claim Handling,Unsatisfactory Settlement,Company Position Substantiated,Company Position Upheld,0,Closed,70
92,AmGUARD Insurance Company,7050547,6 01 2023,25 01 2023,Commercial,Collision,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,Company Position Upheld,0,Closed,19
93,"Oxford Health Insurance, Incorporated",7045035,10 05 2022,3 06 2022,Group,Health Only,Claim Handling,Internal Appeal,Company Position Substantiated,Company Position Upheld,0,Closed,24
94,Farmers Property and Casualty Insurance Company,7054476,19 05 2023,15 06 2023,Individual Private Passenger,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,27
102,CSAA General Insurance Company,7051934,22 02 2023,17 03 2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,23
107,Allstate Insurance Company,7045238,16 05 2022,6 06 2022,Individual Life,Term,Marketing & Sales,Marketing/Sales other,Company Position Substantiated,Contract Provision,0,Closed,21
109,Trumbull Insurance Company,7053886,1 05 2023,2 05 2023,Homeowners,Liability,Underwriting,Nonrenewal,Complaint Withdrawn,Company Position Upheld,0,Closed,1
110,New South Insurance Company,7052770,20 03 2023,2 05 2023,Individual Private Passenger,Collision,Claim Handling,Claim Procedure,Company Position Substantiated,Corrective Action,0,Closed,43
112,Cigna Health and Life Insurance Company,7045389,20 05 2022,6 06 2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Overturned,Coverage Granted,0,Closed,17
113,American General Life Insurance Company,7045172,13 05 2022,6 06 2022,Individual Life,Term,Marketing & Sales,Premiums Misquoted,Company Position Substantiated,Contract Provision,0,Closed,24
117,Cigna Health and Life Insurance Company,7053163,4 04 2023,2 05 2023,Group,Health Only,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0,Closed,28
118,"Anthem Health Plans, Inc",7043327,24 02 2022,6 06 2022,Group,Health Only,Claim Handling,Eligibility of Provider,Claim Settled,Claim Paid,16383.32,Closed,102
121,Lincoln Benefit Life Company,7045204,16 05 2022,6 06 2022,Individual Life,Fixed,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Claim Paid With Interest,0,Closed,21
134,GEICO Indemnity Company,7052011,24 02 2023,17 03 2023,Individual Private Passenger,Liability,Claim Handling,Loss of Use,Company Position Substantiated,Company Position Upheld,0,Closed,21
140,"Anthem Health Plans, Inc",7052896,25 03 2023,2 05 2023,A & H,Liability,PolicyHolder Service,Credentialing Delay,Company Position Overturned,Provider Issue,0,Closed,38
141,State Farm Mutual Automobile Insurance Company,7053207,5 04 2023,2 05 2023,Individual Private Passenger,Comprehensive,Claim Handling,Adjuster Handling,Company Position Substantiated,Corrective Action,0,Closed,27
145,Century&ndash;National Insurance Company,7054675,26 05 2023,15 06 2023,Homeowners,Hazard,Claim Handling,Claim Denial,Company Position Substantiated,Contract Provision,0,Closed,20
148,Nationwide Mutual Insurance Company,7045411,23 05 2022,7 06 2022,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,386.13,Closed,15
151,UnitedHealthcare Insurance Company,7051076,23 01 2023,25 01 2023,A & H,Health Only,Claim Handling,CPT Code Issue,Company Position Substantiated,Provider Issue,0,Closed,2
152,"Cigna HealthCare of Connecticut, Inc",7041960,10 01 2022,7 06 2022,Group,Liability,Claim Handling,CPT Code Issue,Company Position Substantiated,Claim Paid,0,Closed,148
153,Allstate Insurance Company,7045381,19 05 2022,7 06 2022,Homeowners,Liability,Underwriting,Premium & Rating,Company Position Substantiated,Company Position Upheld,0,Closed,19
155,"Cigna HealthCare of Connecticut, Inc",7050680,10 01 2023,25 01 2023,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,15
158,Cigna Health and Life Insurance Company,7040854,14 11 2021,7 01 2022,A & H,A & H,Claim Handling,Claim Delays,Company Position Substantiated,Furnished Information,0,Closed,54
167,GEICO General Insurance Company,7052124,27 02 2023,17 03 2023,Individual Private Passenger,Comprehensive,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,18
175,Liberty Mutual Personal Insurance Company,7044275,7 04 2022,7 06 2022,Commercial,Liability,PolicyHolder Service,Policy Service Other,Company Position Substantiated,Company Position Upheld,0,Closed,61
176,Cigna Health and Life Insurance Company,7051104,24 01 2023,25 01 2023,A & H,Liability,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,1
179,Cigna Health and Life Insurance Company,7012547,20 02 2019,6 03 2019,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,No Action Necessary,0,Closed,14
181,Omaha Health Insurance Company,7045246,16 05 2022,7 06 2022,Individual,A & H,PolicyHolder Service,Premium Refund Delay,Company Position Overturned,Premium Refund,2237.76,Closed,22
184,Cigna Health and Life Insurance Company,7041053,22 11 2021,19 01 2022,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1973.5,Closed,58
189,Aetna Health and Life Insurance Company,7047493,25 08 2022,29 08 2022,Group,A & H,Claim Handling,Claim Handling Other,Company Position Substantiated,Company Position Upheld,0,Closed,4
194,State Farm Mutual Automobile Insurance Company,7052382,8 03 2023,2 05 2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Offer,Company Position Substantiated,Enter Arbitration,0,Closed,55
196,Liberty Mutual Personal Insurance Company,7052752,17 03 2023,2 05 2023,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,46
197,Cigna Health and Life Insurance Company,7041286,6 12 2021,29 03 2022,A & H,A & H,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid,1270.99,Closed,113
202,"ConnectiCare Insurance Company, Inc",7054398,17 05 2023,15 06 2023,Group,A & H,PolicyHolder Service,Quality of Care,Question of Fact/Contract/Provision/Legal Issue,Satisfactory Explanation,0,Closed,29
203,Merrimack Mutual Fire Insurance Company,7042100,15 01 2022,7 06 2022,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,143
209,Cigna Health and Life Insurance Company,7043769,15 03 2022,5 04 2022,Group,Health Only,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
211,Cigna Health and Life Insurance Company,7041034,21 11 2021,8 12 2021,A & H,A & H,PolicyHolder Service,Delays/No Response,Compromised Settlement/Resolution,Furnished Information,0,Closed,17
219,"ConnectiCare Benefits, Inc.",7042515,31 01 2022,29 04 2022,Individual,Health Exchange,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Policy Restored/Reinstated,0,Closed,88
223,"Anthem Health Plans, Inc",7008305,23 09 2021,24 09 2021,A & H,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Record Only,0,Closed,1
226,"Anthem Health Plans, Inc",7044913,5 05 2022,8 06 2022,Individual,Exchange,Claim Handling,Eligibility of Provider,Company Position Substantiated,Furnished Information,0,Closed,34
227,Century&ndash;National Insurance Company,7051982,23 02 2023,17 03 2023,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,22
229,"ConnectiCare Benefits, Inc.",7045091,11 05 2022,8 06 2022,Individual,Exchange,Claim Handling,Denial,Company Position Substantiated,Claim Paid,0,Closed,28
240,"Anthem Health Plans, Inc",7043955,24 03 2022,8 06 2022,A & H,Self Funded/ERISA,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,76
241,Transamerica Life Insurance Company,7044000,28 03 2022,8 06 2022,Individual Life,Term,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Voluntary Reconsideration,0,Closed,72
246,Cigna Health and Life Insurance Company,7042087,14 01 2022,28 02 2022,A & H,A & H,Claim Handling,Surprise Billing,Claim Settled,Claim Paid,1053.44,Closed,45
253,Cigna Health and Life Insurance Company,7051426,6 02 2023,20 03 2023,A & H,A & H,Claim Handling,"Co&ndash;pay, Deductible, and Co&ndash;Insurance Issues",Company Position Substantiated,Company Position Upheld,0,Closed,42
255,Cigna Health and Life Insurance Company,7006949,21 10 2021,1 12 2021,Group,Health Only,Claim Handling,UR Procedure,Company Position Substantiated,Corrective Action,7418.27,Closed,41
257,Cigna Health and Life Insurance Company,7040808,11 11 2021,21 12 2021,A & H,A & H,Claim Handling,Cost Containment,Company Position Overturned,Coverage Extended,0,Closed,40
262,"Anthem Health Plans, Inc",7052384,8 03 2023,20 03 2023,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,12
267,Cigna Health and Life Insurance Company,7042887,9 02 2022,17 03 2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Coverage Denied,0,Closed,36
268,Plymouth Rock Assurance Corporation,7051918,22 02 2023,20 03 2023,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,26
269,Cigna Health and Life Insurance Company,7042353,24 01 2022,15 02 2022,Group,Dental,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid With Interest,238.63,Closed,22
271,Aetna Health Inc,7045155,13 05 2022,8 06 2022,Group,Dental,Claim Handling,Claim Procedure,Company Position Substantiated,Furnished Information,0,Closed,26
272,Allstate Fire and Casualty Insurance Company,7052131,28 02 2023,20 03 2023,Individual Private Passenger,Rental Reimbursement,Claim Handling,Adjuster Handling,Claim Settled,Company Position Upheld,0,Closed,20
275,Cigna Health and Life Insurance Company,7017008,20 04 2018,9 05 2018,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,19
292,"Anthem Health Plans, Inc",7049753,29 11 2022,5 12 2022,Group,A & H,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,6
299,"Anthem Health Plans, Inc",7052314,7 03 2023,20 03 2023,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,13
304,Truck Insurance Exchange,7044716,27 04 2022,10 05 2022,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,21839.71,Closed,13
306,Cigna Health and Life Insurance Company,7009079,3 02 2021,3 02 2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
315,Cigna Health and Life Insurance Company,7010157,19 07 2021,9 08 2021,Individual,Dental,PolicyHolder Service,Delays/No Response,Company Position Substantiated,No Action Necessary,0,Closed,21
318,Cigna Health and Life Insurance Company,7009080,3 02 2021,3 02 2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
319,American Strategic Insurance Corp.,7051760,15 02 2023,8 03 2023,Homeowners,Hazard,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0,Closed,21
321,SAFECO Insurance Company of Illinois,7051111,24 01 2023,20 03 2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,11061.55,Closed,55
323,Cigna Health and Life Insurance Company,7009086,4 02 2021,4 02 2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,0
324,Republic&ndash;Franklin Insurance Company,7052161,1 03 2023,20 03 2023,Homeowners,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Corrective Action,10000,Closed,19
326,Progressive Casualty Insurance Company,7053335,11 04 2023,2 05 2023,Individual Private Passenger,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Company Position Upheld,0,Closed,21
327,"ConnectiCare Benefits, Inc.",7041543,17 12 2021,1 02 2022,Individual,Exchange,Claim Handling,UR DENIAL OF CLAIM,Claim Settled,Furnished Information,611.31,Closed,46
333,Trumbull Insurance Company,7050138,15 12 2022,26 01 2023,Homeowners,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Justified,0,Closed,42
334,John Hancock Life Insurance Company (USA),7050673,10 01 2023,25 01 2023,Individual,Long Term Care,PolicyHolder Service,Coverage Question,Company Position Substantiated,Contract Violation,0,Closed,15
335,Cigna Health and Life Insurance Company,7009067,2 02 2021,3 02 2021,Group,Health Only,Claim Handling,UR DENIAL OF CLAIM,Company Position Substantiated,No Action Necessary,0,Closed,1
339,UnitedHealthcare Insurance Company,7052776,20 03 2023,20 03 2023,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
348,"American Imaging Management, Inc.",7049538,17 11 2022,20 03 2023,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,123
350,Cigna Health and Life Insurance Company,7051246,31 01 2023,20 03 2023,Group,Dental,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,76.6,Closed,48
351,"Cigna HealthCare of Connecticut, Inc",7051350,2 02 2023,20 03 2023,Individual,Health Only,Claim Handling,Claim Delays,Company Position Substantiated,Furnished Information,6310.29,Closed,46
359,Cigna Health and Life Insurance Company,7009769,22 07 2021,22 07 2021,A & H,Liability,Claim Handling,Claim Denial,Company Position Substantiated,No Action Necessary,0,Closed,0
361,Cigna Health and Life Insurance Company,7009652,11 02 2021,27 07 2021,Group,Health Only,Claim Handling,Coordination of Benefits,Company Position Substantiated,Justified,418,Closed,166
366,UnitedHealthcare Insurance Company,7051043,23 01 2023,25 01 2023,A & H,Liability,Claim Handling,CPT Code Issue,Company Position Substantiated,Provider Issue,0,Closed,2
367,Transamerica Financial Life Insurance Company,7051695,14 02 2023,20 03 2023,Individual,Long Term Care,Underwriting,Premium & Rating,Company Position Substantiated,Furnished Information,0,Closed,34
373,Cigna Health and Life Insurance Company,7006945,21 10 2021,30 11 2021,Group,Health Only,Claim Handling,Surprise Billing,Claim Settled,Company Position Upheld,3619,Closed,40
378,SiriusPoint Specialty Insurance Corporation,7051752,15 02 2023,8 03 2023,General,Surplus Lines,Underwriting,Cancellation,Complaint Withdrawn,Company Position Upheld,0,Closed,21
386,CSAA General Insurance Company,7051134,25 01 2023,20 03 2023,Homeowners,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,54
387,"ConnectiCare Benefits, Inc.",7051169,26 01 2023,20 03 2023,Individual,Health Only,PolicyHolder Service,Unsatisfactory Refund of Premium,Company Position Overturned,Company Position Upheld,1172,Closed,53
391,"Anthem Health Plans, Inc",7044750,28 04 2022,8 06 2022,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Furnished Information,0,Closed,41
392,"Anthem Health Plans, Inc",7049785,30 11 2022,25 01 2023,A & H,Health Only,Claim Handling,Time Delay,Claim Settled,Claim Paid,4504.2,Closed,56
396,Westchester Fire Insurance Company,7051452,6 02 2023,20 03 2023,Pet Insurance,Liability,Underwriting,Nonrenewal,Company Position Substantiated,Non&ndash;Renewal Rescinded,0,Closed,42
401,SAFECO Insurance Company of Illinois,7052244,3 03 2023,20 03 2023,Individual Private Passenger,Collision,Claim Handling,Actual Cash Value Dispute,Company Position Substantiated,Enter Arbitration,0,Closed,17
404,Esurance Insurance Company,7053257,10 04 2023,2 05 2023,Individual Private Passenger,Collision,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,22
405,Economy Premier Assurance Company,7051031,22 01 2023,20 03 2023,Individual Private Passenger,Liability,Underwriting,Cancellation,Company Position Substantiated,Cancellation Upheld,0,Closed,57
407,Motor Club Insurance Company,7045271,17 05 2022,9 06 2022,Homeowners,Liability,Underwriting,Cancellation,Company Position Substantiated,Cancellation Withdrawn,0,Closed,23
408,UnitedHealthcare Insurance Company,7052773,20 03 2023,20 03 2023,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
410,"Anthem Health Plans, Inc",7043239,22 02 2022,9 06 2022,A & H,A & H,Claim Handling,Eligibility of Provider,Company Position Substantiated,Claim Paid,9235.77,Closed,107
411,UnitedHealthcare Insurance Company,7052786,20 03 2023,20 03 2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,0,Closed,0
413,CSAA Affinity Insurance Company,7043138,17 02 2022,9 06 2022,Homeowners,Hazard,Claim Handling,Denial,Company Position Overturned,Contract Violation,10000,Closed,112
415,Nationwide Mutual Fire Insurance Company,7052009,24 02 2023,20 03 2023,Homeowners,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,24
416,Cigna Health and Life Insurance Company,7018510,25 10 2019,13 11 2019,Group,Health Only,Claim Handling,Claim Procedure,Company Position Substantiated,Justified,120,Closed,19
417,"Anthem Health Plans, Inc",7045021,9 05 2022,9 06 2022,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,31
418,"Anthem Health Plans, Inc",7043876,21 03 2022,9 06 2022,A & H,Health Only,Claim Handling,Claim Delays,Company Position Substantiated,Claim Paid,15584.57,Closed,80
422,Liberty Mutual Personal Insurance Company,7052136,28 02 2023,20 03 2023,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Additional Money Received,213.74,Closed,20
432,Liberty Mutual Personal Insurance Company,7054715,30 05 2023,15 06 2023,Individual Private Passenger,Collision,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,16
433,Allmerica Financial Benefit Insurance Company,7051541,9 02 2023,20 03 2023,Commercial,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,39
439,"Anthem Health Plans, Inc",7049029,31 10 2022,14 12 2022,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,44
441,Trumbull Insurance Company,7051887,18 02 2023,20 03 2023,Individual Private Passenger,Collision,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,30
443,Cigna Health and Life Insurance Company,7021881,16 05 2019,30 05 2019,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,14
445,Liberty Mutual Personal Insurance Company,7051099,24 01 2023,20 03 2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Claim Settled,Company Position Upheld,0,Closed,55
460,Plymouth Rock Assurance Corporation,7052711,16 03 2023,20 03 2023,Homeowners,Hazard,Claim Handling,Adjuster Handling,Company Position Substantiated,Record Only,0,Closed,4
461,Amica Mutual Insurance Company,7051802,16 02 2023,8 03 2023,Umbrella,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,20
465,State Farm Fire & Casualty Company,7048929,26 10 2022,14 12 2022,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Overturned,Justified,19462.8,Closed,49
468,Cigna Health and Life Insurance Company,7001141,19 03 2020,23 03 2020,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,No Action Necessary,0,Closed,4
469,Aetna Health and Life Insurance Company,7049093,2 11 2022,25 01 2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Compromised Settlement/Resolution,Provider Issue,0,Closed,84
